IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,ME62271,ME62152,ME62215,ME62143,ME62230,ME62095,ME62076,ME62030,ME62171,ME62301,ME62194,ME62344,ME62320,ME62296,ME62271_S,ME62152_S,ME62215_S,ME62143_S,ME62230_S,ME62095_S,ME62076_S,ME62030_S,ME62171_S,ME62301_S,ME62194_S,ME62344_S,ME62320_S,ME62296_S,BSBG01,BSBGHER,BSBGSSB,BSBGSB,BSBGSLM,BSBGICM,BSBGDML,BSBGSCM,BSBGSVM,BSBGSEC,BSBG01_Z,BSBGHER_Z,BSBGSSB_Z,BSBGSB_Z,BSBGSLM_Z,BSBGICM_Z,BSBGDML_Z,BSBGSCM_Z,BSBGSVM_Z,BSBGSEC_Z
158,11,5054,505406,50540603,0,1,0,0,0,0,1,1,0,0,1,0,0,0,37.857,135.192,155.675,19.574,27.984,55.384,36.208,29.327,26.929,53.344,85.36,57.424,52.704,53.114,2,9.64761,8.46096,12.93734,10.89898,13.01885,14.67371,9.45004,6.90631,8.99128,1,-0.448697366,-0.454410175,1.062742058,0.922244135,1.636317524,1.99930801,0.127476795,-0.712210896,0.24310672
158,10,5054,505406,50540618,0,1,0,0,0,0,1,0,1,0,0,0,0,0,39.152,32.033,27.699,9.551,11.001,6.139,3.253,10.664,12.848,20.312,16.12,6.223,4.897,19.88,2,9.03613,8.08091,10.41803,8.94763,8.82274,8.70559,9.45004,8.82228,7.68313,1,-0.829074944,-0.675724696,-0.318178245,-0.148152125,-0.484273509,-0.894742377,0.127476795,0.321309504,-0.411853714
158,11,5054,505406,50540619,1,1,1,1,0,1,1,1,0,0,1,1,1,0,51.072,43.216,105.219,36.649,15.012,35.909,21.427,34.086,52.817,92.37,53.921,128.075,72.941,75.759,2,10.84499,8.46096,7.85954,9.86638,8.82274,10.31153,9.45004,8.82228,7.68313,1,0.29614548,-0.454410175,-1.72057445,0.355820286,-0.484273509,-0.115992741,0.127476795,0.321309504,-0.411853714
158,10,5055,505502,50550204,1,0,0,0,0,0,0,1,0,0,1,0,0,0,18.443,36.34,53.635,25.72,15.992,14.821,23.624,43.384,18.351,88.454,272.064,31.499,101.173,76.877,2,9.03613,10.00496,12.93734,9.13133,9.15605,13.1082,9.22591,7.10653,10.1686,1,-0.829074944,0.444707367,1.062742058,-0.04738507,-0.315828402,1.240163619,0.030623723,-0.604207402,0.8325636
158,11,5055,505502,50550205,0,1,0,0,0,0,1,1,0,0,1,0,0,0,18.464,36.199,82.376,24.241,23.536,49.142,31.683,29.152,21.672,20.177,41.708,133.352,61.419,34.76,2,7.56439,8.89725,9.05015,7.13627,8.51896,9.19981,3.27793,5.39638,3.2101,1,-1.744586319,-0.200345413,-1.067960234,-1.141758074,-0.637795019,-0.655086073,-2.539670902,-1.526703533,-2.651396326
158,10,5055,505502,50550220,1,1,0,0,1,0,1,1,1,0,1,0,0,1,43.286,64.082,77.54,138.943,59.689,17.016,33.463,41.4,39.21,155.207,67.881,242.956,32.337,47.422,1,9.03613,10.70956,12.87326,8.76139,10.38389,12.25252,7.34181,8.82228,10.1686,0,-0.829074944,0.855017095,1.02761761,-0.250312475,0.304685954,0.825228759,-0.783550518,0.321309504,0.8325636
158,11,5055,505502,50550221,0,1,0,0,1,1,1,1,1,0,1,1,1,1,104.136,77.551,129.567,294.212,26.312,28.904,23.92,40.425,21.654,38.176,81.84,27.274,56.743,59.813,1,6.52207,8.89725,12.93734,11.42832,8.82274,12.25252,10.12116,8.82228,7.28369,0,-2.392972459,-0.200345413,1.062742058,1.212609039,-0.484273509,0.825228759,0.417487207,0.321309504,-0.611844078
158,10,5056,505610,50561008,1,0,1,1,1,0,1,1,0,1,1,1,1,1,18.117,28.144,92.297,12.264,39.511,56.421,24.914,115.45,12.591,48.104,36.68,20.239,102.286,45.538,2,9.03613,7.73555,9.05015,8.16805,11.65115,9.45061,10.12116,10.34734,12.56518,1,-0.829074944,-0.87683819,-1.067960234,-0.575784029,0.945122022,-0.533468573,0.417487207,1.143963628,2.032475748
158,11,5056,505610,50561009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20.533,73.927,112.63,32.591,16.296,28.289,18.568,46.336,20.087,52.529,81.456,33.056,24.952,63.632,2,11.48712,9.40801,12.93734,10.05658,8.24029,10.31153,10.35323,8.57829,6.44721,1,0.695589213,0.097085465,1.062742058,0.46015286,-0.778626671,-0.115992741,0.517771383,0.189695417,-1.030650258
158,10,5056,505610,50561024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49.502,51.257,277.992,78.625,36.742,54.263,28.265,128.947,18.781,116.89,118.014,59.441,118.288,73.52,1,12.04797,8.08091,10.41803,9.86638,9.92675,10.67499,9.89515,8.57829,5.9732,0,1.044471865,-0.675724696,-0.318178245,0.355820286,0.073660794,0.060255651,0.319821733,0.189695417,-1.267976096
158,11,5056,505610,50561025,1,1,0,0,0,1,1,1,1,0,1,0,0,0,52.42,107.512,109.937,83.111,33.419,111.9,40.505,52.92,42.992,45.544,93.343,56.961,95.24,85.488,1,9.03613,8.89725,12.93734,8.37412,9.52219,10.67499,8.51577,6.7011,8.52147,0,-0.829074944,-0.200345413,1.062742058,-0.462746103,-0.130791975,0.060255651,-0.276248362,-0.822906117,0.007883725
158,10,5057,505706,50570611,0,1,1,1,1,1,1,1,1,0,1,1,1,1,20.606,54.745,187.695,44.385,14.487,45.256,12.646,47.329,22.017,33.393,71.968,20.872,23.862,87.266,2,12.25657,10.00496,9.92809,10.45644,13.01885,8.44435,6.95612,10.34734,8.99128,1,1.174233693,0.444707367,-0.586731179,0.679492624,1.636317524,-1.021422425,-0.95021835,1.143963628,0.24310672
